Value,Count,Landforms_2020_3_31_USA_Clip,LC23_EVT_240_Clip,Landforms,EVT_NAME,EVT_PHYS,EVT_GP_N,in_y_n
463,6259,43,7311,Cove: NE cool,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna,0
464,36861,13,7311,Slope crest,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna,1
465,907,24,7909,Sideslope SW warm,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland,0
466,8503,11,7311,Flat summit/ridge,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna,1
467,8901,44,9315,Cove: SW warm,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest,1
468,17529,41,7977,Flat at bottom of steep slope,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland,0
469,2552,24,7298,Sideslope SW warm,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity,0
470,25347,13,7977,Slope crest,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland,0
471,2134,13,7299,Slope crest,Developed-Roads,Developed-Roads,Developed-Roads,0
472,258,3,7925,Steep slope: NE cool,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
473,231,13,7908,Slope crest,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous,0
474,127,13,7927,Slope crest,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest,0
475,146,3,7296,Steep slope: NE cool,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity,0
476,158,43,7238,Cove: NE cool,Laurentian-Acadian Northern Oak Forest,Hardwood,Red Pine-White Pine Forest and Woodland,0
477,339,11,7239,Flat summit/ridge,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland,1
478,986,3,7905,Steep slope: NE cool,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
479,340,4,7925,Steep slope: SW warm,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
480,171,50,7973,Water,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,Agricultural-Row Crop-Close Grown Crop,0
481,176,44,7297,Cove: SW warm,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity,0
482,9551,4,7299,Steep slope: SW warm,Developed-Roads,Developed-Roads,Developed-Roads,0
483,8901,41,7311,Flat at bottom of steep slope,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna,0
484,16758,44,7299,Cove: SW warm,Developed-Roads,Developed-Roads,Developed-Roads,0
485,240,4,7296,Steep slope: SW warm,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity,0
486,1324,11,7299,Flat summit/ridge,Developed-Roads,Developed-Roads,Developed-Roads,0
487,9248,41,7299,Flat at bottom of steep slope,Developed-Roads,Developed-Roads,Developed-Roads,0
488,65,4,7297,Steep slope: SW warm,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity,0
489,10209,13,9817,Slope crest,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,1
490,2164,32,7970,Valley/toe slope,Eastern Cool Temperate Orchard,Agricultural,Agricultural-Orchard,0
491,181,13,7297,Slope crest,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity,0
492,290,4,7909,Steep slope: SW warm,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland,0
493,1307,4,7905,Steep slope: SW warm,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
494,68,13,7909,Slope crest,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland,0
495,151,11,7908,Flat summit/ridge,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous,0
496,607,44,7292,Cove: SW warm,Open Water,Open Water,Open Water,0
497,417,44,7421,Cove: SW warm,Central Tallgrass Prairie,Grassland,Tallgrass Prairie,0
498,4063,4,9315,Steep slope: SW warm,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest,1
499,11246,13,9315,Slope crest,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest,1
500,31,44,7488,Cove: SW warm,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian,Depressional Wetland,0
501,7,4,9683,Steep slope: SW warm,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies,0
502,6186,44,9817,Cove: SW warm,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,1
503,19,4,7412,Steep slope: SW warm,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Tallgrass Prairie,0
504,390,50,7295,Water,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,0
505,22,4,7488,Steep slope: SW warm,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian,Depressional Wetland,0
506,64,4,7421,Steep slope: SW warm,Central Tallgrass Prairie,Grassland,Tallgrass Prairie,0
507,3875,11,9315,Flat summit/ridge,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest,1
508,853,23,7928,Sideslope NE cool,Eastern Cool Temperate Developed Shrubland,Developed,Developed-Upland Shrubland,0
509,1189,3,9315,Steep slope: NE cool,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest,0
510,27,44,7412,Cove: SW warm,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Tallgrass Prairie,0
511,31,23,9683,Sideslope NE cool,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies,0
512,15,3,7412,Steep slope: NE cool,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Tallgrass Prairie,0
513,14,43,7412,Cove: NE cool,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Tallgrass Prairie,0
514,443,22,7976,Gentle slope,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,Agricultural-Fallow/Idle Cropland,0
515,8,3,7907,Steep slope: NE cool,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest,0
516,2782,13,7975,Slope crest,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop,0
517,11583,24,7978,Sideslope SW warm,Eastern Cool Temperate Wheat,Agricultural,Agricultural-Wheat,0
518,2404,44,7905,Cove: SW warm,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
519,353,44,7925,Cove: SW warm,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
520,1864,41,7905,Flat at bottom of steep slope,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
521,3488,43,7905,Cove: NE cool,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
522,684,44,7296,Cove: SW warm,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity,0
523,50,11,7927,Flat summit/ridge,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest,0
524,607,3,9817,Steep slope: NE cool,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,0
525,118,13,7907,Slope crest,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest,0
526,7798,41,9315,Flat at bottom of steep slope,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest,0
527,8277,43,7299,Cove: NE cool,Developed-Roads,Developed-Roads,Developed-Roads,0
528,4010,5,7314,Cliff: NE cool,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest,0
529,25,44,9683,Cove: SW warm,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies,0
530,80,13,7421,Slope crest,Central Tallgrass Prairie,Grassland,Tallgrass Prairie,0
531,4308,41,7974,Flat at bottom of steep slope,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop,0
532,1411,30,7970,Dry flat,Eastern Cool Temperate Orchard,Agricultural,Agricultural-Orchard,0
533,470,24,7928,Sideslope SW warm,Eastern Cool Temperate Developed Shrubland,Developed,Developed-Upland Shrubland,0
534,616,41,9179,Flat at bottom of steep slope,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests,0
535,395,44,9179,Cove: SW warm,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests,0
536,35,4,7927,Steep slope: SW warm,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest,0
537,19699,44,7977,Cove: SW warm,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland,0
538,409,44,7908,Cove: SW warm,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous,0
539,132,4,7975,Steep slope: SW warm,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop,0
540,154,11,7929,Flat summit/ridge,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous,0
541,139,41,7297,Flat at bottom of steep slope,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity,0
542,12327,4,9317,Steep slope: SW warm,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub,1
543,109,11,7297,Flat summit/ridge,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity,0
544,53,43,7908,Cove: NE cool,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous,0
545,151,43,7907,Cove: NE cool,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest,0
546,105,41,7927,Flat at bottom of steep slope,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest,0
547,181,41,7908,Flat at bottom of steep slope,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous,0
548,182,41,7907,Flat at bottom of steep slope,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest,0
549,250,44,7907,Cove: SW warm,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest,0
550,705,30,7976,Dry flat,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,Agricultural-Fallow/Idle Cropland,0
551,39,11,7421,Flat summit/ridge,Central Tallgrass Prairie,Grassland,Tallgrass Prairie,0
552,11401,13,7974,Slope crest,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop,0
553,9709,11,7974,Flat summit/ridge,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop,0
554,121,4,7907,Steep slope: SW warm,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest,0
555,47,3,7421,Steep slope: NE cool,Central Tallgrass Prairie,Grassland,Tallgrass Prairie,0
556,96,5,9315,Cliff: NE cool,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest,0
557,5398,11,9817,Flat summit/ridge,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,1
558,5407,5,7310,Cliff: NE cool,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,0
559,219,3,7974,Steep slope: NE cool,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop,0
560,193,22,9314,Gentle slope,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,Ruderal Forest,0
561,12,23,9314,Sideslope NE cool,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,Ruderal Forest,0
562,4,5,7292,Cliff: NE cool,Open Water,Open Water,Open Water,0
563,185,4,7292,Steep slope: SW warm,Open Water,Open Water,Open Water,0
564,1,3,9683,Steep slope: NE cool,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies,0
565,414,5,7311,Cliff: NE cool,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna,0
566,46,43,9179,Cove: NE cool,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests,0
567,183,43,7421,Cove: NE cool,Central Tallgrass Prairie,Grassland,Tallgrass Prairie,0
568,28,43,7488,Cove: NE cool,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian,Depressional Wetland,0
569,285,32,7976,Valley/toe slope,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,Agricultural-Fallow/Idle Cropland,0
570,208,22,9318,Gentle slope,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,Introduced Herbaceous Wetland Vegetation,0
571,1821,22,7970,Gentle slope,Eastern Cool Temperate Orchard,Agricultural,Agricultural-Orchard,0
572,11,24,9177,Sideslope SW warm,North-Central Interior and Appalachian Acidic Peatland Woodland,Riparian,Atlantic Swamp Forests,0
573,986,21,7976,Upper flat,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,Agricultural-Fallow/Idle Cropland,0
574,2429,11,7975,Flat summit/ridge,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop,0
575,998,39,7970,Pluvial flat,Eastern Cool Temperate Orchard,Agricultural,Agricultural-Orchard,0
576,50,11,7907,Flat summit/ridge,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest,0
577,4566,41,9817,Flat at bottom of steep slope,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,0
578,39,24,9679,Sideslope SW warm,North-Central Interior Floodplain Shrubland,Riparian,Eastern Floodplain Forests,0
579,210,13,7929,Slope crest,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous,0
580,15,13,7928,Slope crest,Eastern Cool Temperate Developed Shrubland,Developed,Developed-Upland Shrubland,0
581,1983,4,9817,Steep slope: SW warm,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,1
582,1,5,7421,Cliff: NE cool,Central Tallgrass Prairie,Grassland,Tallgrass Prairie,0
583,27,5,7296,Cliff: NE cool,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity,0
584,25,44,7298,Cove: SW warm,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity,0
585,77,4,7908,Steep slope: SW warm,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous,0
586,6142,43,7977,Cove: NE cool,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland,0
587,1782,43,9817,Cove: NE cool,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,0
588,4853,13,9317,Slope crest,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub,1
589,138,11,7295,Flat summit/ridge,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,0
590,119,44,7927,Cove: SW warm,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest,0
591,7,5,7929,Cliff: NE cool,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous,0
592,17,13,7412,Slope crest,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Tallgrass Prairie,0
593,262,24,9180,Sideslope SW warm,North-Central Interior Freshwater Marsh,Riparian,Inland Marshes and Prairies,0
594,107635,24,7517,Sideslope SW warm,Paleozoic Plateau Bluff and Talus Woodland,Hardwood,Black Oak Woodland and Savanna,0
595,83027,23,7517,Sideslope NE cool,Paleozoic Plateau Bluff and Talus Woodland,Hardwood,Black Oak Woodland and Savanna,0
596,56727,13,7517,Slope crest,Paleozoic Plateau Bluff and Talus Woodland,Hardwood,Black Oak Woodland and Savanna,0
597,86,11,7973,Flat summit/ridge,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,Agricultural-Row Crop-Close Grown Crop,0
598,80,13,7973,Slope crest,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,Agricultural-Row Crop-Close Grown Crop,0
599,87216,3,7517,Steep slope: NE cool,Paleozoic Plateau Bluff and Talus Woodland,Hardwood,Black Oak Woodland and Savanna,0
600,153851,4,7517,Steep slope: SW warm,Paleozoic Plateau Bluff and Talus Woodland,Hardwood,Black Oak Woodland and Savanna,0
601,1336,3,7977,Steep slope: NE cool,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland,0
602,2,43,9314,Cove: NE cool,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,Ruderal Forest,0
603,485,43,9317,Cove: NE cool,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub,0
604,637,41,9317,Flat at bottom of steep slope,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub,0
605,7822,5,7517,Cliff: NE cool,Paleozoic Plateau Bluff and Talus Woodland,Hardwood,Black Oak Woodland and Savanna,0
606,34,13,7298,Slope crest,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity,0
607,549,44,9317,Cove: SW warm,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub,1
608,19940,43,7517,Cove: NE cool,Paleozoic Plateau Bluff and Talus Woodland,Hardwood,Black Oak Woodland and Savanna,0
609,97,22,7517,Gentle slope,Paleozoic Plateau Bluff and Talus Woodland,Hardwood,Black Oak Woodland and Savanna,0
610,888,11,9312,Flat summit/ridge,Northeastern North American Temperate Forest Plantation,Conifer,Managed Tree Plantation,0
611,1393,13,9312,Slope crest,Northeastern North American Temperate Forest Plantation,Conifer,Managed Tree Plantation,0
612,8,11,7928,Flat summit/ridge,Eastern Cool Temperate Developed Shrubland,Developed,Developed-Upland Shrubland,0
613,1376,41,7975,Flat at bottom of steep slope,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop,0
614,747,3,9317,Steep slope: NE cool,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub,0
615,1407,3,7299,Steep slope: NE cool,Developed-Roads,Developed-Roads,Developed-Roads,0
616,682,11,7517,Flat summit/ridge,Paleozoic Plateau Bluff and Talus Woodland,Hardwood,Black Oak Woodland and Savanna,0
617,56,44,9314,Cove: SW warm,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,Ruderal Forest,0
618,483,43,7925,Cove: NE cool,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
619,539,30,9679,Dry flat,North-Central Interior Floodplain Shrubland,Riparian,Eastern Floodplain Forests,0
620,69,24,7394,Sideslope SW warm,North-Central Interior Oak Savanna,Hardwood,Bur Oak Woodland and Savanna,1
621,1998,44,7517,Cove: SW warm,Paleozoic Plateau Bluff and Talus Woodland,Hardwood,Black Oak Woodland and Savanna,0
622,941,13,7286,Slope crest,Paleozoic Plateau Bluff and Talus Herbaceous,Grassland,Black Oak Woodland and Savanna,0
623,234,32,7290,Valley/toe slope,North-Central Oak Barrens Herbaceous,Grassland,Black Oak Woodland and Savanna,0
624,192,22,7290,Gentle slope,North-Central Oak Barrens Herbaceous,Grassland,Black Oak Woodland and Savanna,1
625,1661,30,7290,Dry flat,North-Central Oak Barrens Herbaceous,Grassland,Black Oak Woodland and Savanna,1
626,2197,21,7290,Upper flat,North-Central Oak Barrens Herbaceous,Grassland,Black Oak Woodland and Savanna,1
627,189,32,9679,Valley/toe slope,North-Central Interior Floodplain Shrubland,Riparian,Eastern Floodplain Forests,0
628,271,5,7977,Cliff: NE cool,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland,0
629,220,41,9312,Flat at bottom of steep slope,Northeastern North American Temperate Forest Plantation,Conifer,Managed Tree Plantation,0
630,395,44,7929,Cove: SW warm,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous,0
631,288,41,7929,Flat at bottom of steep slope,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous,0
632,74,43,7929,Cove: NE cool,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous,0
633,1129,5,9317,Cliff: NE cool,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub,0
634,4071,44,7974,Cove: SW warm,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop,0
635,7,5,7974,Cliff: NE cool,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop,0
636,543,23,7286,Sideslope NE cool,Paleozoic Plateau Bluff and Talus Herbaceous,Grassland,Black Oak Woodland and Savanna,0
637,1527,24,7286,Sideslope SW warm,Paleozoic Plateau Bluff and Talus Herbaceous,Grassland,Black Oak Woodland and Savanna,0
638,3163,4,7286,Steep slope: SW warm,Paleozoic Plateau Bluff and Talus Herbaceous,Grassland,Black Oak Woodland and Savanna,0
639,434,3,7286,Steep slope: NE cool,Paleozoic Plateau Bluff and Talus Herbaceous,Grassland,Black Oak Woodland and Savanna,0
640,332,41,7925,Flat at bottom of steep slope,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
641,10,41,7909,Flat at bottom of steep slope,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland,0
642,511,41,7296,Flat at bottom of steep slope,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity,0
643,31,5,7925,Cliff: NE cool,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
644,504,43,7296,Cove: NE cool,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity,0
645,706,39,9682,Pluvial flat,North-Central Interior Graminoid Alkaline Fen,Riparian,Inland Marshes and Prairies,0
646,27,22,9679,Gentle slope,North-Central Interior Floodplain Shrubland,Riparian,Eastern Floodplain Forests,0
647,179,43,7286,Cove: NE cool,Paleozoic Plateau Bluff and Talus Herbaceous,Grassland,Black Oak Woodland and Savanna,0
648,112,43,7297,Cove: NE cool,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity,0
649,179,50,7286,Water,Paleozoic Plateau Bluff and Talus Herbaceous,Grassland,Black Oak Woodland and Savanna,0
650,460,50,7517,Water,Paleozoic Plateau Bluff and Talus Woodland,Hardwood,Black Oak Woodland and Savanna,0
651,275,11,9317,Flat summit/ridge,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub,1
652,54,5,7905,Cliff: NE cool,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
653,29,3,7908,Steep slope: NE cool,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous,0
654,170,5,7299,Cliff: NE cool,Developed-Roads,Developed-Roads,Developed-Roads,0
655,10,5,7909,Cliff: NE cool,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland,0
656,70,5,9817,Cliff: NE cool,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,0
657,25,5,7297,Cliff: NE cool,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity,0
658,188,5,7286,Cliff: NE cool,Paleozoic Plateau Bluff and Talus Herbaceous,Grassland,Black Oak Woodland and Savanna,0
659,267,32,7517,Valley/toe slope,Paleozoic Plateau Bluff and Talus Woodland,Hardwood,Black Oak Woodland and Savanna,0
660,274,43,9312,Cove: NE cool,Northeastern North American Temperate Forest Plantation,Conifer,Managed Tree Plantation,0
661,207,4,7974,Steep slope: SW warm,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop,0
662,139,44,9178,Cove: SW warm,North-Central Interior and Appalachian Rich Swamp,Riparian,Atlantic Swamp Forests,0
663,8,11,7909,Flat summit/ridge,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland,0
664,141,13,7978,Slope crest,Eastern Cool Temperate Wheat,Agricultural,Agricultural-Wheat,0
665,1947,31,7517,Wet Flat,Paleozoic Plateau Bluff and Talus Woodland,Hardwood,Black Oak Woodland and Savanna,0
666,9,11,7298,Flat summit/ridge,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity,0
667,8,23,7290,Sideslope NE cool,North-Central Oak Barrens Herbaceous,Grassland,Black Oak Woodland and Savanna,0
668,145,41,9314,Flat at bottom of steep slope,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,Ruderal Forest,0
669,304,13,7295,Slope crest,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,0
670,356,41,9178,Flat at bottom of steep slope,North-Central Interior and Appalachian Rich Swamp,Riparian,Atlantic Swamp Forests,0
671,40,41,7295,Flat at bottom of steep slope,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,0
672,1766,39,9117,Pluvial flat,Laurentian-Acadian Floodplain Forest,Riparian,Eastern Floodplain Forests,0
673,4,32,9056,Valley/toe slope,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Peatland Forests,0
674,174,32,7481,Valley/toe slope,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Atlantic Swamp Forests,0
675,9,22,9183,Gentle slope,North-Central Interior Shrub Swamp,Riparian,Inland Marshes and Prairies,0
676,7,50,9620,Water,Laurentian-Acadian Shrub Swamp,Riparian,Inland Marshes and Prairies,0
677,19,41,7302,Flat at bottom of steep slope,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest,0
678,1503,31,9182,Wet Flat,North-Central Interior Shrub Alkaline Fen,Riparian,Inland Marshes and Prairies,0
679,13830,31,9117,Wet Flat,Laurentian-Acadian Floodplain Forest,Riparian,Eastern Floodplain Forests,0
680,12,39,9617,Pluvial flat,Laurentian-Acadian Floodplain Shrubland,Riparian,Eastern Floodplain Forests,0
681,267,11,7302,Flat summit/ridge,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest,0
682,601,13,7302,Slope crest,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest,0
683,30,44,7302,Cove: SW warm,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest,0
684,85,32,9117,Valley/toe slope,Laurentian-Acadian Floodplain Forest,Riparian,Eastern Floodplain Forests,0
685,445,30,9117,Dry flat,Laurentian-Acadian Floodplain Forest,Riparian,Eastern Floodplain Forests,0
686,68,31,9617,Wet Flat,Laurentian-Acadian Floodplain Shrubland,Riparian,Eastern Floodplain Forests,0
687,428,50,9117,Water,Laurentian-Acadian Floodplain Forest,Riparian,Eastern Floodplain Forests,0
688,4113,31,7242,Wet Flat,Laurentian Oak Barrens,Hardwood,Jack Pine Forest,0
689,462,31,9112,Wet Flat,Laurentian Jack Pine-Red Pine Forest,Conifer,Jack Pine Forest,0
690,139,31,9620,Wet Flat,Laurentian-Acadian Shrub Swamp,Riparian,Inland Marshes and Prairies,0
691,10,30,9620,Dry flat,Laurentian-Acadian Shrub Swamp,Riparian,Inland Marshes and Prairies,0
692,1343,50,9677,Water,North-Central Interior and Appalachian Acidic Peatland Shrubland,Riparian,Atlantic Swamp Forests,0
